question_id,source_kind,course_id,level,module_id,title,ข้อที่,รูปแบบโจทย์,คำถาม (Question),ตัวเลือก (Choices),เฉลย (Answer),มาตราที่เกี่ยวข้อง (Sections),คำอธิบายเหตุผล (Explanation),hint_1,hint_2,hint_3,yaml_path,source_note
q-level1-41215-import-002,pasted_quiz_data,41215,1,module-01-torts-unjust-enrichment,การเคลื่อนไหวร่างกายในข้อใดที่ถือว่ามี 'ความรู้สำนึกในการกระ,2,MCQ,การเคลื่อนไหวร่างกายในข้อใดที่ถือว่ามี 'ความรู้สำนึกในการกระทำ' (Voluntary Act) อันอาจเป็นละเมิดตามมาตรา 420,"ก. นักกีฬากระหายน้ำแล้วเดินไปหยิบขวดบรรจุน้ำของคนอื่นมาดื่มกิน
ข. เด็กทารกแรกเกิดที่นอนดิ้นอยู่ในเบาะ
ค. คนนอนหลับลึกแล้วละเมอเดินไปชนแจกันผู้อื่นแตก
ง. คนไข้หมดสติเกิดอาการชักกระตุกไปโดนโทรศัพท์ผู้อื่นเสียหาย
จ. อาการสะดุ้งผวาของคนโดยสัญชาตญาณเพราะตกใจเสียงระเบิด",ก,มาตรา 420,การกระทำในทางกฎหมายละเมิดต้องเกิดจากการเคลื่อนไหวร่างกายภายใต้การควบคุมของจิตใจหรือมีความรู้สำนึก (Voluntary act) การเดินไปหยิบขวดน้ำผู้อื่นมาดื่มจึงเป็นการกระทำที่มีความรู้สำนึก ส่วนการละเมอ ทารก หรืออาการสะดุ้งผวาโดยสัญชาตญาณถือว่าขาดความรู้สำนึกในการควบคุมจิตใจ,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
q-level1-41215-import-003,pasted_quiz_data,41215,1,module-02-property,ข้อใดต่อไปนี้ 'ไม่' ถือเป็นการทำละเมิดเนื่องจากมีกฎหมายหรือส,3,MCQ,ข้อใดต่อไปนี้ 'ไม่' ถือเป็นการทำละเมิดเนื่องจากมีกฎหมายหรือสัญญารองรับให้กระทำได้โดยชอบ,"ก. บิดามารดาทำโทษบุตรตามสมควรเพื่อว่ากล่าวสั่งสอน
ข. ครูบาอาจารย์ทำโทษศิษย์ตามสมควรเพื่ออบรมบ่มนิสัยและระเบียบวินัยในชั้นเรียน
ค. เจ้าพนักงานผู้มีอำนาจจับผู้ต้องหาว่าได้กระทำผิด หรือริบของกลาง หรือประหารชีวิตนักโทษ
ง. การใช้สิทธิทางกฎหมายตามสัญญาและปฏิบัติตามสัญญา เช่น สิทธิการใช้รถยนต์ตามสัญญายืม
จ. ถูกทุกข้อ",จ,มาตรา 420 (ประกอบมาตรา 1567(2)),การกระทำที่จะเป็นละเมิดต้องเป็นการกระทำโดยมิชอบด้วยกฎหมาย แต่ตัวเลือกทั้งหมด (ก-ง) เป็นกรณีที่ผู้กระทำมีสิทธิและอำนาจตามกฎหมายหรือสัญญาให้กระทำได้โดยชอบ จึงไม่ถือเป็นการทำละเมิด,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
q-level1-41215-import-004,pasted_quiz_data,41215,1,module-01-torts-unjust-enrichment,บุคคลใดจะต้องรับผิดชอบต่อความเสียหายเด็ดขาด (Strict Liabilit,4,MCQ,บุคคลใดจะต้องรับผิดชอบต่อความเสียหายเด็ดขาด (Strict Liability) อันเกิดแต่นวัตกรรมยานพาหนะตาม ป.พ.พ. มาตรา 437 วรรคแรก,"ก. ผู้ครอบครองหรือควบคุมดูแลยานพาหนะอยู่ในขณะเกิดเหตุ
ข. เจ้าของกรรมสิทธิ์ในทะเบียนยานพาหนะขณะเกิดเหตุ
ค. ผู้ให้เช่ารถยนต์คันเกิดเหตุ
ง. บริษัทไฟแนนซ์ ที่ให้เช่าซื้อรถยนต์คันเกิดเหตุ
จ. บริษัทประกันภัย ที่รับประกันภัยรถยนต์คันเกิดเหตุ",ก,มาตรา 437 วรรคแรก,ตามมาตรา 437 วรรคแรก กฎหมายบัญญัติความรับผิดเด็ดขาดให้ตกแก่ 'ผู้ครอบครองหรือควบคุมดูแล' ยานพาหนะที่เดินด้วยกำลังเครื่องจักรกลอยู่ในขณะเกิดเหตุนั้น เว้นแต่จะพิสูจน์เหตุสุดวิสัยหรือความผิดของผู้เสียหาย,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
q-level1-41215-import-005,pasted_quiz_data,41215,1,module-01-torts-unjust-enrichment,อายุความฟ้องร้องค่าเสียหายอันเกิดแต่มูลละเมิดตามมาตรา 448 วร,5,MCQ,อายุความฟ้องร้องค่าเสียหายอันเกิดแต่มูลละเมิดตามมาตรา 448 วรรคแรก มีกำหนดระยะเวลาอย่างไร,"ก. 1 ปี นับแต่วันที่ทำละเมิด
ข. 1 ปี นับแต่วันที่ผู้ต้องเสียหายรู้ถึงการละเมิด
ค. 10 ปี นับแต่วันที่ผู้ต้องเสียหายรู้ถึงการละเมิดและรู้ตัวผู้จะพึงต้องใช้ค่าสินไหมทดแทน
ง. 1 ปี นับแต่วันที่ผู้ต้องเสียหายรู้ถึงการละเมิดและรู้ตัวผู้จะพึงต้องใช้ค่าสินไหมทดแทน หรือ 10 ปี นับแต่วันที่ทำละเมิด
จ. 5 ปี นับแต่วันที่ทำละเมิดในทุกกรณี",ง,มาตรา 448 วรรคแรก,อายุความฟ้องร้องฐานละเมิดมี 2 ระยะ คือ ระยะสั้น 1 ปีนับแต่วันที่ผู้ต้องเสียหายรู้ถึงการละเมิดและรู้ตัวผู้จะพึงต้องใช้ค่าสินไหมทดแทน หรือระยะยาวไม่เกิน 10 ปีนับแต่วันทำละเมิด,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
q-level1-41215-import-006,pasted_quiz_data,41215,1,module-02-property,แดงยกที่ดินมีโฉนดแปลงหนึ่งตีใช้หนี้ให้แก่ขาว โดยทำสัญญากันเอ,6,MCQ,แดงยกที่ดินมีโฉนดแปลงหนึ่งตีใช้หนี้ให้แก่ขาว โดยทำสัญญากันเองมิได้จดทะเบียนโอนต่อพนักงานเจ้าหน้าที่ เมื่อแดงถึงแก่ความตาย ดำทายาทโดยธรรมผู้รับมรดกของแดงจะทวงที่ดินคืนจากขาวได้หรือไม่,"ก. ทวงคืนได้ เพราะนิติกรรมตกเป็นโมฆะทันที
ข. ทวงคืนได้ เพราะถือว่าดำเป็นบุคคลภายนอกผู้รับมรดกมาโดยสุจริต
ค. ทวงคืนไม่ได้ เพราะนิติกรรมเป็นโมฆียะและยังไม่ได้บอกล้าง
ง. ทวงคืนไม่ได้ เพราะแม้ไม่บริบูรณ์เป็นทรัพยสิทธิแต่ผูกพันเป็นบุคคลสิทธิ และดำไม่ใช่บุคคลภายนอก
จ. ทวงคืนได้ เพราะการโอนอสังหาริมทรัพย์ต้องทำเป็นหนังสือและจดทะเบียนในทุกกรณีโดยไม่มีข้อยกเว้น",ง,มาตรา 1299 วรรคแรก,การยกที่ดินตีชำระหนี้เป็นการโอนทรัพยสิทธิโดยนิติกรรม เมื่อไม่จดทะเบียนย่อม 'ไม่บริบูรณ์เป็นทรัพยสิทธิ' แต่มีผลผูกพันเป็นบุคคลสิทธิระหว่างคู่สัญญา ดำเป็นทายาทผู้รับมรดกต้องรับไปทั้งสิทธิและหน้าที่ของแดง ดำจึงไม่ใช่บุคคลภายนอกและไม่มีสิทธิทวงคืน,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
q-level1-41215-import-007,pasted_quiz_data,41215,1,module-01-torts-unjust-enrichment,ข้อใดต่อไปนี้จัดเป็น 'อสังหาริมทรัพย์' ตามนิยามของมาตรา 139,7,MCQ,ข้อใดต่อไปนี้จัดเป็น 'อสังหาริมทรัพย์' ตามนิยามของมาตรา 139,"ก. ต้นพลูที่ปลูกไว้เก็บใบขาย
ข. ต้นกล้วยที่ปลูกและเติบโตอยู่บนที่ดิน
ค. เรือนแพที่ลอยน้ำและสามารถเคลื่อนย้ายได้
ง. ตู้โทรศัพท์สาธารณะที่ขันน็อตยึดติดกับพื้นฟุตบาท
จ. สิทธิการเช่าอาคารพาณิชย์เป็นเวลา 3 ปี",ข,มาตรา 139,ต้นกล้วยเป็นพืชที่ติดตรึงอยู่กับที่ดินอย่างถาวรในลักษณะที่เป็นไม้ยืนต้น/ไม้ล้มลุกที่มีอายุยืนยาวสัญจรไม่ได้ตามสภาพ จึงเป็นอสังหาริมทรัพย์ ส่วนต้นพลูเป็นไม้เลื้อย เรือนแพเป็นสังหาริมทรัพย์ ตู้โทรศัพท์ถอนได้ง่าย และสิทธิการเช่าเป็นบุคคลสิทธิ,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
q-level1-41215-import-008,pasted_quiz_data,41215,1,module-02-property,ทรัพย์สินประเภทใดต่อไปนี้ที่กฎหมายบัญญัติห้ามเอกชนยกเลิกหรือ,8,MCQ,ทรัพย์สินประเภทใดต่อไปนี้ที่กฎหมายบัญญัติห้ามเอกชนยกเลิกหรือครอบครองปรปักษ์อย่างเด็ดขาดตามบทบัญญัติแห่งกฎหมายพิเศษหรือกฎหมายลักษณะทรัพย์สิน,"ก. ที่ดินทรัพย์สินส่วนพระมหากษัตริย์
ข. ที่ดินรกร้างว่างเปล่าของเอกชนที่ปล่อยทิ้งไว้เกิน 10 ปี
ค. ที่ดินสาธารณสมบัติของแผ่นดิน เช่น ที่ชายตลิ่ง หรือที่วัด/ที่ธรณีสงฆ์
ง. รถยนต์โบราณที่มีการครอบครองเกิน 5 ปี
จ. สิทธิการเช่าซื้อที่ดินของรัฐ",ค,"มาตรา 1304, 1382 (ประกอบ พ.ร.บ. คณะสงฆ์)",สาธารณสมบัติของแผ่นดิน (มาตรา 1304) และที่วัด/ที่ธรณีสงฆ์ มีกฎหมายบัญญัติห้ามโอนและห้ามเอกชนยกอายุความขึ้นต่อสู้เพื่อครอบครองปรปักษ์อย่างเด็ดขาด ส่วนที่ดินส่วนพระมหากษัตริย์ที่ไม่ใช่สาธารณสมบัติฯ เอกชนอาจครอบครองปรปักษ์ได้ภายใต้เงื่อนไขเฉพาะ,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
q-level1-41215-import-009,pasted_quiz_data,41215,1,module-02-property,"การกระทำในข้อใดถือเป็นการเพิ่มภาระแก่ภารยทรัพย์ (มาตรา 1388,",9,MCQ,"การกระทำในข้อใดถือเป็นการเพิ่มภาระแก่ภารยทรัพย์ (มาตรา 1388, 1389) ซึ่งเจ้าของสามยทรัพย์ 'ไม่มีสิทธิ' กระทำโดยพละการ","ก. การเทคอนกรีตทับทางกรวดเดิมเพื่อความสะดวกโดยไม่ขยายเขตทาง
ข. การวางท่อระเบายนํ้าขนาดเล็กใต้ดินในเขตทางภาระจำยอมเดิม
ค. การรื้อรั้วชั่วคราวที่กีดขวางในขอบเขตทางภาระจำยอมออกไป
ง. การเปลี่ยนจากการเดินเท้ามาเป็นขับรถยนต์เข้าออกสม่ำเสมอในทางเดิมที่กว้าง 1.5 เมตร
จ. การซ่อมแซมผิวถนนที่ชำรุดเสียหายให้กลับมาใช้งานได้ตามปกติ",ง,"มาตรา 1388, 1389",การเปลี่ยนลักษณะการใช้งานจากเดินเท้ามาเป็นรถยนต์ส่งผลให้ภารยทรัพย์เกิดความเสียหาย รับน้ำหนัก และเกิดมลภาวะเพิ่มขึ้นอย่างมีนัยสำคัญ แม้เขตความกว้างจะเท่าเดิม ถือเป็นการเพิ่มภาระแก่ภารยทรัพย์ซึ่งต้องห้ามตามกฎหมาย,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
q-level1-41215-import-010,pasted_quiz_data,41215,1,"",มติในการถอดถอนผู้จัดการอาคารชุดตาม พ.ร.บ. อาคารชุด จะต้องใช้,10,MCQ,มติในการถอดถอนผู้จัดการอาคารชุดตาม พ.ร.บ. อาคารชุด จะต้องใช้คะแนนเสียงตามข้อใดจึงจะสมบูรณ์,"ก. ไม่น้อยกว่า 1 ใน 4 ของจำนวนคะแนนเสียงของเจ้าของร่วมทั้งหมด
ข. ไม่น้อยกว่า 1 ใน 3 ของจำนวนคะแนนเสียงของเจ้าของร่วมที่เข้าร่วมประชุม
ค. ไม่น้อยกว่า 1 ใน 3 ของจำนวนคะแนนเสียงของเจ้าของร่วมทั้งหมด
ง. ไม่น้อยกว่ากึ่งหนึ่งของจำนวนคะแนนเสียงของเจ้าของร่วมที่เข้าร่วมประชุม
จ. ไม่น้อยกว่ากึ่งหนึ่งของจำนวนคะแนนเสียงของเจ้าของร่วมทั้งหมด",จ,พ.ร.บ. อาคารชุด,การแต่งตั้งหรือถอดถอนผู้จัดการอาคารชุดซึ่งเป็นตำแหน่งสำคัญในการบริหารทรัพย์สินส่วนกลาง ถือเป็นมติขั้นสูงที่กฎหมายกำหนดว่าต้องได้รับคะแนนเสียงเห็นชอบไม่น้อยกว่ากึ่งหนึ่ง (50%) ของจำนวนคะแนนเสียงของเจ้าของร่วมทั้งหมดในอาคารชุดนั้น,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
q-level1-41215-import-011,pasted_quiz_data,41215,1,module-02-property,จงจับคู่ 'คู่กฎหมายที่มักสับสน' ฝั่งซ้าย กับ 'คำนิยามหลักกฎห,11,Matching,"จงจับคู่ 'คู่กฎหมายที่มักสับสน' ฝั่งซ้าย กับ 'คำนิยามหลักกฎหมาย' ฝั่งขวาให้ถูกต้อง:
1. ทางจำเป็น (มาตรา 1349)
2. ภาระจำยอม (มาตรา 1387)

A: ทรัพยสิทธิที่เกิดจากภูมิศาสตร์ของที่ดินถูกล้อมจนไม่มีทางออกสู่ทางสาธารณะ ต้องจ่ายค่าทดแทน
B: ทรัพยสิทธิประเภทรอนสิทธิ เกิดขึ้นได้ทั้งจากนิติกรรมหรือได้มาโดยอายุความ 10 ปี โดยที่ดินแปลงหนึ่งต้องยอมรับกรรมเพื่อประโยชน์ของที่ดินแปลงอื่น","ก. 1-A, 2-B
ข. 1-B, 2-A
ค. ทั้ง 1 และ 2 จับคู่กับ A
ง. ทั้ง 1 และ 2 จับคู่กับ B",ก,"มาตรา 1349, 1387",ทางจำเป็น (1) เกิดขึ้นจากสภาพภูมิศาสตร์ที่ดินถูกปิดล้อม (A) ส่วนภาระจำยอม (2) เป็นการจำกัดสิทธิภารยทรัพย์เพื่อประโยชน์ของสามยทรัพย์ ซึ่งเกิดได้จากนิติกรรมหรืออายุความได้สิทธิ (B),"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
