Section,Short_title,Content
มาตรา 437,ความรับผิดจากยานพาหนะเดินด้วยกำลังเครื่องจักรกล,บุคคลใดครอบครองหรือควบคุมดูแลยานพาหนะอย่างใดๆ อันเดินด้วยกำลังเครื่องจักรกล บุคคลนั้นจะต้องรับผิดชอบในความเสียหายอันเกิดแก่ยานพาหนะนั้น เว้นแต่จะพิสูจน์ได้ว่าความเสียหายนั้นเกิดแต่เหตุสุดวิสัย หรือเกิดเพราะความผิดของผู้ต้องเสียหายนั้นเอง ความข้อนี้ให้ใช้บังคับได้ตลอดถึงผู้มีไว้ในครอบครองของตนซึ่งทรัพย์อันเป็นของเกิดอันตรายได้ง่ายโดยสภาพ หรือโดยความมุ่งหมายที่จะใช้ หรือโดยอาการกลไกของทรัพย์นั้นด้วย
มาตรา 1367,การได้มาซึ่งสิทธิครอบครอง,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1367
มาตรา 1368,การได้มาซึ่งสิทธิครอบครองโดยบุคคลอื่นยึดถือไว้ให้,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1368
มาตรา 1369,ข้อสันนิษฐานการยึดถือทรัพย์สินเพื่อตน,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1369
มาตรา 1370,ข้อสันนิษฐานการครอบครองโดยสุจริต/สงบ/เปิดเผย,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1370
มาตรา 1371,ข้อสันนิษฐานการครอบครองอย่างต่อเนื่อง,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1371
มาตรา 1372,ข้อสันนิษฐานสิทธิในทรัพย์สินที่ครอบครอง,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1372
มาตรา 1373,ข้อสันนิษฐานสิทธิครอบครองในอสังหาริมทรัพย์ที่มีชื่อในทะเบียน,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1373
มาตรา 1374,การถูกรบกวนการครอบครองและสิทธิคุ้มครอง,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1374
มาตรา 1375,การถูกแย่งการครอบครองและกำหนดเวลาฟ้องเอาคืน,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1375
มาตรา 1376,การส่งคืนทรัพย์สินกรณีสิทธิครอบครองสิ้นสุดลง,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1376
มาตรา 1377,การสละการครอบครองหรือขาดการยึดถือ,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1377
มาตรา 1378,การโอนไปซึ่งสิทธิครอบครอง,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1378
มาตรา 1379,การโอนสิทธิครอบครองแก่ผู้ยึดถือทรัพย์สินอยู่แล้ว,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1379
มาตรา 1380,การโอนสิทธิครอบครองกรณีผู้โอนยังครองทรัพย์สินอยู่,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1380
มาตรา 1381,การเปลี่ยนลักษณะแห่งการครอบครองโดยผู้ยึดถือแทน,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1381
มาตรา 1382,หลักเกณฑ์การครอบครองปรปักษ์,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1382
มาตรา 1383,การนับอายุความครอบครองปรปักษ์ทรัพย์สินที่ได้มาโดยการกระทำผิด,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1383
มาตรา 1384,การขาดการยึดถือทรัพย์สินโดยเหตุชั่วคราว,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1384
มาตรา 1385,การโอนสิทธิครอบครองและนับเวลาครอบครองสืบต่อกัน,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1385
มาตรา 1387,ลักษณะของภาระจำยอม,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1387
มาตรา 1388,สิทธิของเจ้าของสามยทรัพย์ในการทำการเพื่อรักษาภาระจำยอม,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1388
มาตรา 1389,ห้ามเปลี่ยนแปลงในสามยทรัพย์หรือภารยทรัพย์ให้เพิ่มภาระ,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1389
มาตรา 1390,ห้ามเจ้าของภารยทรัพย์ทำความสะดวกลดลงหรือเสื่อมความยาก,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1390
มาตรา 1391,การย้ายสิทธิภาระจำยอมไปยังส่วนอื่นของภารยทรัพย์,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1391
มาตรา 1393,การแบ่งแยกสามยทรัพย์กับภาระจำยอม,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1393
มาตรา 1394,การแบ่งแยกภารยทรัพย์กับภาระจำยอม,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1394
มาตรา 1395,ภาระจำยอมเพื่อประโยชน์แก่สามยทรัพย์บางส่วน,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1395
มาตรา 1396,ภาระจำยอมเพื่อประโยชน์แก่ทรัพย์สินหลายสิ่ง,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1396
มาตรา 1397,ภาระจำยอมสิ้นสุดลงเมื่อภารยทรัพย์หรือสามยทรัพย์สลายไป,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1397
มาตรา 1398,ภาระจำยอมสิ้นสุดลงเมื่อสามยทรัพย์และภารยทรัพย์ตกเป็นของคนเดียวกัน,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1398
มาตรา 1400,การระงับภาระจำยอมเมื่อหมดประโยชน์แก่สามยทรัพย์,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1400
มาตรา 1401,การได้มาซึ่งภาระจำยอมโดยอายุความ,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1401
มาตรา 1312,การสร้างโรงเรือนรุกล้ำเข้าไปในที่ดินของผู้อื่นโดยสุจริต,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1312
มาตรา 1352,การวางท่อน้ำ ท่อระบายน้ำ สายไฟ ผ่านที่ดินติดต่อกัน,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1352
มาตรา 1299,การได้มาซึ่งอสังหาริมทรัพย์หรือทรัพยสิทธิทางนิติกรรมและโดยทางอื่น,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1299
มาตรา 1300,สิทธิของผู้ได้มาซึ่งอสังหาริมทรัพย์ที่ยังไม่ได้จดทะเบียน,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1300
มาตรา 1301,บทบัญญัติการเปลี่ยนแปลง ระงับ กลับคืนมาซึ่งทรัพยสิทธิ,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1301
มาตรา 1302,การนำบทบัญญัติมาใช้บังคับแก่อสังหาริมทรัพย์และเรือมีระวาง,เนื้อหาตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1302
