Section,Short_Title,Content
มาตรา 11,มาตราความผิดทางอาญา,ผู้ใดกระทำความผิดในราชอาณาจักร หรือกระทำความผิดที่ประมวลกฎหมายนี้ถือว่าได้กระทำในราชอาณาจักร ถ้าผู้นั้นได้รับโทษสำหรับการกระทำนั้นตามคำพิพากษาของศาลในต่างประเทศมาแล้วทั้งหมดหรือบางส่วน ศาลจะลงโทษน้อยกว่าที่กฎหมายกำหนดไว้สำหรับความผิดนั้นเพียงใดก็ได้ หรือจะไม่ลงโทษเลยก็ได้
มาตรา 12,มาตราความผิดทางอาญา,วิธีการเพื่อความปลอดภัยจะลงแก่บุคคลใดได้ก็ต่อเมื่อมีบทบัญญัติแห่งกฎหมายให้ลงได้เท่านั้น และการลงวิธีการเพื่อความปลอดภัยนั้น ให้ใช้กฎหมายในขณะที่ศาลพิพากษา
มาตรา 13,มาตราความผิดทางอาญา,ถ้าตามกฎหมายที่บัญญัติในภายหลังได้ยกเลิกวิธีการเพื่อความปลอดภัยใดเสีย และในขณะนั้นผู้ใดกำลังรับวิธีการเพื่อความปลอดภัยนั้นอยู่ ก็ให้ศาลสั่งระงับการบังคับตามวิธีการเพื่อความปลอดภัยนั้นทันที
มาตรา 14,มาตราความผิดทางอาญา,ในกรณีที่มีผู้ถูกใช้สอย หรือสนับสนุนให้กระทำความผิด และผู้กระทำความผิดไม่ต้องรับโทษ หรือได้รับการลดโทษเพราะเหตุส่วนตัวของผู้กระทำความผิด เหตุส่วนตัวนั้นไม่ขยายไปถึงผู้ใช้หรือผู้สนับสนุนด้วย
มาตรา 15,มาตราความผิดทางอาญา,บทบัญญัติในภาค 1 แห่งประมวลกฎหมายนี้ ให้ใช้ในกรณีแห่งความผิดตามกฎหมายอื่นด้วย เว้นแต่กฎหมายนั้นๆ จะได้บัญญัติไว้เป็นอย่างอื่น
มาตรา 16,มาตราความผิดทางอาญา,ในการคำนวณระยะเวลาจำคุก วันเริ่มนับวันแรกให้นับเป็นหนึ่งวันเต็ม ไม่ว่าจะจำคุกในวันนั้นเพียงกี่ชั่วโมง และเมื่อจะพ้นกำหนดในวันใด การปล่อยตัวให้กระทำในวันถัดจากวันสิ้นสุดกำหนดนั้น
มาตรา 17,มาตราความผิดทางอาญา,ในการคำนวณอายุบุคคล ให้นับวันเกิดรวมคำนวณเข้าด้วยเป็นหนึ่งวันเต็ม
มาตรา 18,ประเภทโทษทางอาญา,โทษสำหรับลงแก่ผู้กระทำความผิดมีดังนี้ (1) ประหารชีวิต (2) จำคุก (3) กักขัง (4) ปรับ (5) ริบทรัพย์สิน
มาตรา 19,มาตราความผิดทางอาญา,โทษประหารชีวิตให้ดำเนินการด้วยวิธีฉีดยาหรือสารพิษให้ตาย
มาตรา 20,มาตราความผิดทางอาญา,ผู้ใดต้องโทษประหารชีวิต และมีครรภ์อยู่ ให้รอการประหารชีวิตไว้จนกว่าจะคลอดบุตรแล้ว และเมื่อคลอดบุตรแล้วให้รอไว้เป็นเวลาสามปีนับแต่วันคลอดบุตรเพื่อเลี้ยงดูบุตร เว้นแต่บุตรนั้นถึงแก่ความตายก่อนกำหนดเวลาดังกล่าว ในระหว่างสามปีถ้าศาลเห็นสมควรจะสั่งให้ลดโทษประหารชีวิตลงเป็นจำคุกตลอดชีวิตก็ได้
มาตรา 21,มาตราความผิดทางอาญา,ในการคำนวณระยะเวลากักขังหรือจำคุก ให้นับวันเริ่มรับโทษรวมเข้าด้วย และให้นับเป็นหนึ่งวันเต็มโดยไม่คำนึงถึงจำนวนชั่วโมง
มาตรา 22,มาตราความผิดทางอาญา,โทษจำคุกให้เริ่มนับแต่วันมีคำพิพากษา แต่ถ้าผู้ต้องคำพิพากษาถูกคุมขังก่อนศาลพิพากษา ให้หักจำนวนวันที่ถูกคุมขังนั้นออกจากระยะเวลาจำคุกตามคำพิพากษา เว้นแต่คำพิพากษานั้นจะสั่งเป็นอย่างอื่น
มาตรา 23,มาตราความผิดทางอาญา,ผู้ใดกระทำความผิดซึ่งมีโทษจำคุก และในคดีนั้นศาลจะลงโทษจำคุกไม่เกินสามเดือน ศาลจะลงโทษกักขังแทนโทษจำคุกนั้นก็ได้
มาตรา 24,มาตราความผิดทางอาญา,ผู้ต้องโทษกักขังจะถูกกักตัวไว้ในสถานที่กักขังซึ่งกำหนดไว้ อันมิใช่เรือนจำ
มาตรา 25,มาตราความผิดทางอาญา,ผู้ต้องโทษกักขังมีสิทธิทำงานตามระเบียบที่สถานกักขังกำหนด และถ้ามีความประสงค์จะทำงานของตนเอง ก็อาจทำได้หากไม่ขัดต่อระเบียบความสงบเรียบร้อย
มาตรา 26,มาตราความผิดทางอาญา,ถ้าผู้ต้องโทษกักขังเจ็บป่วย ศาลอาจสั่งให้ไปรักษาตัวในสถานพยาบาลนอกสถานที่กักขังได้ โดยให้นับระยะเวลาที่รักษาตัวนั้นรวมเข้าในระยะเวลากักขังด้วย
มาตรา 27,มาตราความผิดทางอาญา,ถ้าผู้ต้องโทษกักขังหลบหนีไปจากสถานที่กักขัง ระยะเวลาที่หลบหนีไม่ให้นับรวมเข้าในระยะเวลากักขัง
มาตรา 28,มาตราความผิดทางอาญา,ผู้ต้องโทษปรับต้องชำระเงินตามจำนวนที่กำหนดไว้ในคำพิพากษาต่อศาล
มาตรา 29,มาตราความผิดทางอาญา,ผู้ใดไม่ชำระค่าปรับภายในกำหนดสามสิบวันนับแต่วันที่ศาลมีคำพิพากษา ผู้นั้นจะต้องถูกยึดทรัพย์สินหรืออายัดสิทธิเรียกร้องในทรัพย์สินเพื่อใช้ค่าปรับ หรือมิฉะนั้นจะต้องถูกกักขังแทนค่าปรับ
มาตรา 30,มาตราความผิดทางอาญา,ในการกักขังแทนค่าปรับ ให้ถืออัตราห้าร้อยบาทต่อหนึ่งวัน และห้ามกักขังเกินกำหนดหนึ่งปี เว้นแต่ในกรณีที่ศาลพิพากษาให้ปรับตั้งแต่สองแสนบาทขึ้นไป ศาลจะสั่งให้กักขังแทนค่าปรับเป็นระยะเวลาเกินกว่าหนึ่งปีแต่ไม่เกินสองปีก็ได้
มาตรา 30/1,มาตราความผิดทางอาญา,ในกรณีที่ศาลพิพากษาลงโทษปรับ ผู้ต้องโทษปรับซึ่งไม่ใช่พระภิกษุ สามเณร และไม่มีเงินชำระค่าปรับ อาจยื่นคำร้องต่อศาลชั้นต้นที่พิพากษาคดีเพื่อขอทำงานบริการสังคมหรือทำงานสาธารณประโยชน์แทนค่าปรับได้
มาตรา 30/2,มาตราความผิดทางอาญา,การทำงานบริการสังคมหรือทำงานสาธารณประโยชน์แทนค่าปรับ ให้กระทำภายใต้การดูแลของพนักงานคุมประพฤติ หรือเจ้าหน้าที่ของรัฐที่ศาลกำหนด
มาตรา 30/3,มาตราความผิดทางอาญา,ถ้าผู้ต้องโทษปรับไม่ทำงานบริการสังคมหรือทำงานสาธารณประโยชน์ตามที่ศาลกำหนด ศาลอาจสั่งเพิกถอนคำสั่งและให้กักขังแทนค่าปรับที่เหลืออยู่ได้
มาตรา 31,มาตราความผิดทางอาญา,ในกรณีที่ศาลโปรดให้ปรับหลายกระทงความผิด การกักขังแทนค่าปรับรวมกันทุกกระทงห้ามเกินกำหนดสองปี
มาตรา 32,การริบทรัพย์สินที่ใช้ทำความผิด,ทรัพย์สินใดที่กฎหมายบัญญัติไว้ว่าผู้ใดทำหรือมีไว้เป็นความผิด ให้ริบเสียทั้งสิ้น ไม่ว่าจะเป็นของผู้กระทำความผิดและมีตัวผู้ต้องคำพิพากษาหรือไม่
มาตรา 33,การริบทรัพย์สินที่ได้มาโดยการทำความผิด,ในการริบทรัพย์สิน นอกจากที่กฎหมายบัญญัติไว้ในมาตรา 32 ศาลมีอำนาจสั่งให้ริบทรัพย์สินดังต่อไปนี้อีกด้วย คือ (1) ทรัพย์สินซึ่งบุคคลได้ใช้ หรือมีไว้เพื่อใช้ในการกระทำความผิด หรือ (2) ทรัพย์สินซึ่งบุคคลได้มาโดยได้กระทำความผิด เว้นแต่ทรัพย์สินเหล่านี้เป็นทรัพย์สินของผู้อื่นซึ่งมิได้รู้เห็นเป็นใจด้วยในการกระทำความผิด
มาตรา 34,มาตราความผิดทางอาญา,"บรรดาทรัพย์สิน (1) ซึ่งได้ให้ตามมาตรา 143, 144, 149, 150, 167, 201 หรือ 202 หรือ (2) ซึ่งได้ให้เพื่อจูงใจบุคคลให้กระทำความผิด หรือเพื่อเป็นรางวัลในการที่บุคคลได้กระทำความผิด ให้ริบเสียทั้งสิ้น เว้นแต่เป็นทรัพย์สินของผู้อื่นซึ่งมิได้รู้เห็นเป็นใจด้วยในการกระทำความผิด"
มาตรา 35,มาตราความผิดทางอาญา,"ทรัพย์สินที่ศาลสั่งริบตามมาตรา 32, 33 หรือ 34 ให้ตกเป็นของแผ่นดิน แต่ศาลจะสั่งให้ทำให้ทำลายทรัพย์สินนั้นเสีย หรือทำให้ใช้การไม่ได้ก็ได้"
มาตรา 36,มาตราความผิดทางอาญา,ในกรณีที่ศาลสั่งริบทรัพย์สินตามมาตรา 33 หรือมาตรา 34 ไปแล้ว หากปรากฏในภายหลังโดยคำร้องของเจ้าของแท้จริงว่าตนมิได้รู้เห็นเป็นใจด้วยในการกระทำความผิด ให้ศาลสั่งให้คืนทรัพย์สินนั้น
มาตรา 37,มาตราความผิดทางอาญา,ผู้ใดได้รับโทษกักขังแทนค่าปรับครบกำหนดแล้ว ให้พ้นจากความรับผิดชอบในค่าปรับนั้น แต่ถ้าศาลยึดทรัพย์สินก่อนครบกำหนด ทรัพย์สินนั้นก็ยังคงต้องถูกบังคับค่าปรับ
มาตรา 38,มาตราความผิดทางอาญา,ความรับผิดชอบในการชำระค่าปรับย่อมระงับไปด้วยความตายของผู้ต้องโทษปรับ แต่ถ้าศาลได้ยึดหรืออายัดทรัพย์สินไว้ก่อนความตาย การบังคับคดีแก่ทรัพย์สินนั้นยังทำต่อไปได้
มาตรา 39,มาตราความผิดทางอาญา,วิธีการเพื่อความปลอดภัยมีดังนี้ (1) การกักกัน (2) การห้ามเข้าเขตกำหนด (3) การเรียกประกันความทัณฑ์บน (4) การคุมตัวไว้ในสถานพยาบาล (5) การห้ามประกอบอาชีพบางอย่าง
มาตรา 40,มาตราความผิดทางอาญา,การกักกัน คือการควบคุมผู้กระทำความผิดติดนิสัยไว้ภายในเขตกำหนดเพื่อการดัดนิสัยและฝึกหัดอาชีพ
มาตรา 41,มาตราความผิดทางอาญา,ศาลมีอำนาจสั่งกักกันผู้ที่เคยถูกศาลพิพากษาให้ลงโทษจำคุกมาแล้วไม่น้อยกว่าสองครั้ง และกระทำความผิดซ้ำอีกในกำหนดเวลาที่กฎหมายบัญญัติ
มาตรา 42,มาตราความผิดทางอาญา,การกักกันให้มีกำหนดเวลาไม่ต่ำกว่าสองปีและไม่เกินสิบปี
มาตรา 43,มาตราความผิดทางอาญา,ศาลมีอำนาจสั่งห้ามเข้าเขตกำหนดแก่ผู้กระทำความผิดเพื่อความสงบเรียบร้อยของประชาชน
มาตรา 44,มาตราความผิดทางอาญา,การห้ามเข้าเขตกำหนด ให้ศาลสั่งห้ามมิให้เข้าไปในท้องที่ที่กำหนดไว้เป็นเวลาไม่เกินห้าปี
มาตรา 45,มาตราความผิดทางอาญา,ศาลมีอำนาจสั่งเรียกประกันความทัณฑ์บนแก่บุคคลที่มีพฤติการณ์น่าจะก่อเหตุร้ายให้เกิดภยันตรายแก่บุคคลหรือทรัพย์สินของผู้อื่น
มาตรา 46,มาตราความผิดทางอาญา,ถ้าศาลเห็นว่าผู้ใดจะก่อเหตุร้าย ศาลมีอำนาจสั่งให้ผู้นั้นทำทัณฑ์บนโดยมีประกันหรือไม่มีประกันว่าจะไม่ก่อเหตุร้ายตลอดเวลาที่ศาลกำหนดไม่เกินสองปี
มาตรา 47,มาตราความผิดทางอาญา,หากผู้ทำทัณฑ์บนละเมิดทัณฑ์บน ศาลมีอำนาจสั่งให้ศาลปรับผู้ประกัน หรือกักขังผู้ทำทัณฑ์บนไม่เกินหกเดือน
มาตรา 48,มาตราความผิดทางอาญา,ถ้าศาลเห็นว่าผู้กระทำความผิดมีจิตบกพร่อง โรคจิต หรือจิตฟั่นเฟือน ศาลอาจสั่งให้คุมตัวไว้ในสถานพยาบาลได้
มาตรา 49,มาตราความผิดทางอาญา,ศาลมีอำนาจสั่งห้ามประกอบอาชีพบางอย่างแก่ผู้กระทำความผิดที่ใช้อาชีพนั้นในการกระทำความผิดหรือโอกาสในการกระทำความผิด
มาตรา 50,มาตราความผิดทางอาญา,การห้ามประกอบอาชีพบางอย่าง ให้มีกำหนดเวลาไม่เกินห้าปีนับแต่วันพ้นโทษ
มาตรา 51,มาตราความผิดทางอาญา,ในการเพิ่มโทษ ลดโทษ หรือยกเว้นโทษจำคุกที่จะลงแก่ผู้กระทำความผิด ศาลจะคำนวณตามเกณฑ์ที่กฎหมายกำหนดไว้ในแต่ละมาตรา
มาตรา 52,มาตราความผิดทางอาญา,การลดโทษประหารชีวิต ไม่ว่าจะลดตามมาตราใด ให้ลดเป็นจำคุกตลอดชีวิต หรือจำคุกตั้งแต่สิบห้าปีถึงยี่สิบปี
มาตรา 53,มาตราความผิดทางอาญา,การลดโทษจำคุกตลอดชีวิต ไม่ว่าจะลดตามมาตราใด ให้ลดเป็นจำคุกตั้งแต่สิบห้าปีถึงยี่สิบปี หรือจำคุกตั้งแต่สิบปีถึงยี่สิบปี
มาตรา 54,มาตราความผิดทางอาญา,ในการคำนวณการลดโทษที่เป็นมาตราส่วน ให้ลดจากโทษที่ศาลจะลงแก่ผู้กระทำความผิดก่อนลดโทษ
มาตรา 55,มาตราความผิดทางอาญา,ถ้าโทษจำคุกที่จะลงแก่ผู้กระทำความผิดมีกำหนดเวลาไม่เกินสามเดือน ศาลจะลงโทษกักขังแทนจำคุกตามมาตรา 23 ก็ได้
มาตรา 56,การรอการลงโทษ (รอลงอาญา),ผู้ใดกระทำความผิดซึ่งมีโทษจำคุกหรือปรับ และในคดีนั้นศาลจะลงโทษจำคุกไม่เกินห้าปี ศาลอาจสั่งให้รอการลงโทษหรือรอการกำหนดโทษไว้ได้โดยกำหนดเงื่อนไขเพื่อคุมความประพฤติ
มาตรา 57,มาตราความผิดทางอาญา,เมื่อความปรากฏแก่ศาลหรือพนักงานคุมประพฤติว่า ผู้ศาลสั่งให้รอการลงโทษละเมิดเงื่อนไข ศาลอาจตักเตือน หรือสั่งให้ศาลลงโทษที่รอไว้ได้
มาตรา 58,มาตราความผิดทางอาญา,เมื่อความปรากฏแก่ศาลว่า ผู้ที่ถูกศาลสั่งรอการลงโทษไว้ได้กระทำความผิดซ้ำอีกในระหว่างเวลาที่รอ ศาลอาจสั่งเพิกถอนการรอการลงโทษและนำโทษที่รอไว้มาบวกเข้ากับโทษในคดีใหม่ได้
มาตรา 59,หลักเรื่องเจตนาและความประมาท,บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อได้กระทำโดยเจตนา เว้นแต่จะได้กระทำโดยประมาท ในกรณีที่กฎหมายบัญญัติไว้โดยชัดแจ้งให้ต้องรับผิดเมื่อได้กระทำโดยประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยชัดแจ้งให้ต้องรับผิดแม้ได้กระทำโดยไม่มีเจตนา กระทำโดยเจตนา ได้แก่กระทำโดยรู้สำนึกในการที่กระทำและในขณะเดียวกันผู้กระทำประสงค์ต่อผล หรือย่อมเล็งเห็นผลของการกระทำนั้น ถ้าผู้กระทำมิได้รู้ข้อเท็จจริงอันเป็นองค์ประกอบของความผิด จะถือว่าผู้กระทำประสงค์ต่อผล หรือย่อมเล็งเห็นผลของการกระทำนั้นมิได้ กระทำโดยประมาท ได้แก่กระทำความผิดมิใช่โดยเจตนา แต่กระทำโดยปราศจากความระมัดระวังซึ่งบุคคลในภาวะเช่นนั้นจักต้องมีตามวิสัยและพฤติการณ์ และผู้กระทำอาจใช้ความระมัดระวังเช่นนั้นได้ แต่หาได้ใช้ให้เพียงพอไม่ การกระทำ ให้หมายความรวมถึงการให้เกิดผลอันหนึ่งอันใดขึ้นโดยงดเว้นการที่จักต้องกระทำเพื่อป้องกันผลนั้นด้วย
